date,city,temperature,rainfall,month,season
2026-01-01,Chennai,29.0,2,1,Winter
2026-01-09,Chennai,32.0,2,1,Winter
2026-01-15,Chennai,34.0,0,1,Winter
2026-02-06,Chennai,33.0,0,2,Winter
2026-02-07,Chennai,31.67,1,2,Winter
2026-03-02,Chennai,30.0,0,3,Summer
2026-03-04,Chennai,30.0,3,3,Summer
2026-03-08,Chennai,34.0,4,3,Summer
2026-03-11,Chennai,30.0,1,3,Summer
2026-03-13,Chennai,32.0,0,3,Summer
2026-03-14,Chennai,33.0,2,3,Summer
2026-04-05,Chennai,32.0,0,4,Summer
2026-05-03,Chennai,31.67,2,5,Summer
2026-06-12,Chennai,31.67,0,6,Monsoon
2026-10-10,Chennai,31.0,0,10,Post-Monsoon
